attack,n_att,aggregator,f1_mean,f1_sd,caught,honest_rej,seeds
flip,1,fedavg,0.9535776851317194,0.028315647672394716,0.0,0.0,3
flip,1,krum,0.9388857285695701,0.0005644190317557947,10.0,30.0,3
flip,1,lpra,0.9708248638223832,0.0004347535088257816,10.0,0.0,3
flip,1,median,0.944369325721134,0.004594513831171864,0.0,0.0,3
flip,1,multi_krum,0.9707670121085777,0.0004019680692830496,10.0,0.0,3
flip,1,trimmed_mean,0.9560539197685142,0.01250668479987956,0.0,0.0,3
flip,2,fedavg,0.9203858277766116,0.0120743356320709,0.0,0.0,3
flip,2,krum,0.6771950851358263,0.4557462682633219,6.666666666666667,23.333333333333332,3
flip,2,lpra,0.9388439285056759,0.00048815579759098023,9.666666666666666,0.0,3
flip,2,median,0.9389247076940525,0.00037216893343805074,0.0,0.0,3
flip,2,multi_krum,0.9388741527883514,0.00036571374456812356,9.333333333333334,1.0,3
flip,2,trimmed_mean,0.9389247076940525,0.00037216893343805074,0.0,0.0,3
noise,1,fedavg,0.7804226356678368,0.16105612517185933,0.0,0.0,3
noise,1,krum,0.9388857285695701,0.0005644190317557947,10.0,30.0,3
noise,1,lpra,0.9708248638223832,0.0004347535088257816,10.0,0.0,3
noise,1,median,0.9541302733033655,0.015644614326996667,0.0,0.0,3
noise,1,multi_krum,0.9707670121085777,0.0004019680692830496,10.0,0.0,3
noise,1,trimmed_mean,0.9707057314223335,0.00047163506960217177,0.0,0.0,3
noise,2,fedavg,0.6718413203197869,0.1080014057617192,0.0,0.0,3
noise,2,krum,0.939701462825049,0.0013120867808028207,10.0,20.0,3
noise,2,lpra,0.9388439285056759,0.00048815579759098023,10.0,0.0,3
noise,2,median,0.93880327684908,0.00045530663053396575,0.0,0.0,3
noise,2,multi_krum,0.9388606069802923,0.0003818361138310258,10.0,0.0,3
noise,2,trimmed_mean,0.93880327684908,0.00045530663053396575,0.0,0.0,3
none,0,fedavg,0.9706812076390993,0.000337337879722428,0.0,0.0,3
none,0,krum,0.9385751365120556,0.0005793603368301454,0.0,40.0,3
none,0,lpra,0.9706812076390993,0.000337337879722428,0.0,0.0,3
none,0,median,0.9412086892565501,0.0041092102200193355,0.0,0.0,3
none,0,multi_krum,0.9389642817305109,0.000540431440960505,0.0,10.0,3
none,0,trimmed_mean,0.9390393260947127,0.00047174380511243673,0.0,0.0,3
scale,1,fedavg,0.9502537529272977,0.03621155003078938,0.0,0.0,3
scale,1,krum,0.9388857285695701,0.0005644190317557947,10.0,30.0,3
scale,1,lpra,0.9708248638223832,0.0004347535088257816,10.0,0.0,3
scale,1,median,0.9421276738263037,0.00492842838657816,0.0,0.0,3
scale,1,multi_krum,0.9707670121085777,0.0004019680692830496,10.0,0.0,3
scale,1,trimmed_mean,0.9431246064737405,0.004187170373400225,0.0,0.0,3
scale,2,fedavg,0.9261138479807628,0.04161808455312379,0.0,0.0,3
scale,2,krum,0.939701462825049,0.0013120867808028207,10.0,20.0,3
scale,2,lpra,0.9388439285056759,0.00048815579759098023,10.0,0.0,3
scale,2,median,0.9450479978136043,0.005667862159852084,0.0,0.0,3
scale,2,multi_krum,0.9388606069802923,0.0003818361138310258,10.0,0.0,3
scale,2,trimmed_mean,0.9450479978136043,0.005667862159852084,0.0,0.0,3
stealth,1,fedavg,0.970790821704895,0.00042271724537710955,0.0,0.0,3
stealth,1,krum,0.938556143563065,0.0005996559787058678,8.0,32.0,3
stealth,1,lpra,0.970790821704895,0.00042271724537710955,0.0,0.0,3
stealth,1,median,0.9410458616004665,0.004006304552312259,0.0,0.0,3
stealth,1,multi_krum,0.93878975440475,0.0005343952311174776,0.0,10.0,3
stealth,1,trimmed_mean,0.9509235454095691,0.016820622194925576,0.0,0.0,3
stealth,2,fedavg,0.9388032692910416,0.0005512165417180994,0.0,0.0,3
stealth,2,krum,0.9387610602159562,0.0004430138889282714,0.0,30.0,3
stealth,2,lpra,0.9388032692910416,0.0005512165417180994,0.0,0.0,3
stealth,2,median,0.9387746062039618,0.00043890268610722764,0.0,0.0,3
stealth,2,multi_krum,0.9387234897828568,0.0003747542220711266,0.0,20.0,3
stealth,2,trimmed_mean,0.9387746062039618,0.00043890268610722764,0.0,0.0,3
