aggregator,lpra_version,attack,n_att,k,seed,rounds,strength,direction,final_f1,mean_last3_f1,rounds_all_attackers_rejected,attacker_rejections,honest_rejections,time_s
krum,v2,scale,2,5,43,10,,,0.9384644840130193,0.9384389558399949,10,20,20,2.4531907629998386
multi_krum,v2,scale,2,5,43,10,,,0.9385504804931276,0.9385082681544216,10,20,0,2.3992917680002392
lpra,v2,scale,2,5,43,10,,,0.9383472466876005,0.9383050143914896,10,20,0,2.470121451000068
fedavg,v2,flip,1,5,43,10,,,0.9697576320869379,0.9517726486274779,0,0,0,2.524000342999898
median,v2,flip,1,5,43,10,,,0.9475722258076762,0.9416471461700846,0,0,0,2.421115830999952
trimmed_mean,v2,flip,1,5,43,10,,,0.9700196533857424,0.9700326344376199,0,0,0,2.382567936000214
krum,v2,flip,1,5,43,10,,,0.9386693193557026,0.9386724477937017,10,10,30,2.508405519000007
multi_krum,v2,flip,1,5,43,10,,,0.9703401943967982,0.9703286365361062,10,10,0,2.685264073000326
lpra,v2,flip,1,5,43,10,,,0.9703748704570632,0.9703633117703081,10,10,0,2.547313631000179
fedavg,v2,flip,2,5,43,10,,,0.9266486694947936,0.927661020711141,0,0,0,2.592111702999773
median,v2,flip,2,5,43,10,,,0.9388769889840881,0.9389040453346075,0,0,0,2.522650605000308
trimmed_mean,v2,flip,2,5,43,10,,,0.9388769889840881,0.9389040453346075,0,0,0,2.5959055670000453
krum,v2,flip,2,5,43,10,,,0.15094535094535094,0.15097727633381489,0,10,30,2.5660831410000355
multi_krum,v2,flip,2,5,43,10,,,0.9385911179173048,0.9384962879247972,8,17,3,2.446159482999974
lpra,v2,flip,2,5,43,10,,,0.9383472466876005,0.9383050143914896,10,20,0,2.493749676000334
fedavg,v2,noise,1,5,43,10,,,0.8838644750083865,0.8847082459062889,0,0,0,2.60446815000023
median,v2,noise,1,5,43,10,,,0.9701604545616982,0.9618512688278882,0,0,0,2.7229426670000976
